input_size,output_size,kernel_size,stride,padding,forward_featuremap_internal_padding,forward_featuremap_external_padding,forward_weight_internal_padding,forward_featuremap_elements_after_im2col,forward_featuremap_zeros_after_im2col,loss_featuremap_internal_padding,loss_featuremap_external_padding,loss_weight_internal_padding,loss_featuremap_elements_after_im2col,loss_featuremap_zeros_after_im2col,gradient_featuremap_internal_padding,gradient_featuremap_external_padding,gradient_weight_internal_padding,gradient_featuremap_elements_after_im2col,gradient_featuremap_zeros_after_im2col,gradient_weight_zeros_after_im2col,forward_featuremap_sparsity_after_im2col,forward_weight_sparsity_after_im2col,loss_featuremap_sparsity_after_im2col,loss_weight_sparsity_after_im2col,gradient_featuremap_sparsity_after_im2col,gradient_weight_sparsity_after_im2col,forward_featuremap_additional_storage,loss_featuremap_additional_storage,gradient_kernal_additional_storage
"(-1, 3, 224, 224)","(-1, 64, 55, 55)","(11, 11)","(4, 4)","(2, 2)",0,"(2, 2)",0,1138368,29376,"(3, 3)","(8, 8)",0,388562944,364904448,0,"(2, 2)","(3, 3)",17729283,261576,2820096,0.02580536346770113,0,0.9391128352167313,0,0.014753896138947073,0.9357599439359511,0.036449432373046875,12.176513671875,10.7578125
"(-1, 64, 27, 27)","(-1, 192, 27, 27)","(5, 5)","(1, 1)","(2, 2)",0,"(2, 2)",0,1166400,101376,"(0, 0)","(2, 2)",0,3499200,304128,0,"(2, 2)","(0, 0)",1166400,101376,0,0.08691358024691358,0,0.08691358024691358,0,0.08691358024691358,0.0,0.056640625,0.169921875,0.0
"(-1, 192, 13, 13)","(-1, 384, 13, 13)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,292032,29184,"(0, 0)","(1, 1)",0,584064,58368,0,"(1, 1)","(0, 0)",292032,29184,0,0.09993425378040763,0,0.09993425378040763,0,0.09993425378040763,0.0,0.041015625,0.08203125,0.0
"(-1, 384, 13, 13)","(-1, 256, 13, 13)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,584064,58368,"(0, 0)","(1, 1)",0,389376,38912,0,"(1, 1)","(0, 0)",584064,58368,0,0.09993425378040763,0,0.09993425378040763,0,0.09993425378040763,0.0,0.08203125,0.0546875,0.0
"(-1, 256, 13, 13)","(-1, 256, 13, 13)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,389376,38912,"(0, 0)","(1, 1)",0,389376,38912,0,"(1, 1)","(0, 0)",389376,38912,0,0.09993425378040763,0,0.09993425378040763,0,0.09993425378040763,0.0,0.0546875,0.0546875,0.0
