input_size,output_size,kernel_size,stride,padding,forward_featuremap_internal_padding,forward_featuremap_external_padding,forward_weight_internal_padding,forward_featuremap_elements_after_im2col,forward_featuremap_zeros_after_im2col,loss_featuremap_internal_padding,loss_featuremap_external_padding,loss_weight_internal_padding,loss_featuremap_elements_after_im2col,loss_featuremap_zeros_after_im2col,gradient_featuremap_internal_padding,gradient_featuremap_external_padding,gradient_weight_internal_padding,gradient_featuremap_elements_after_im2col,gradient_featuremap_zeros_after_im2col,gradient_weight_zeros_after_im2col,forward_featuremap_sparsity_after_im2col,forward_weight_sparsity_after_im2col,loss_featuremap_sparsity_after_im2col,loss_weight_sparsity_after_im2col,gradient_featuremap_sparsity_after_im2col,gradient_weight_sparsity_after_im2col,forward_featuremap_additional_storage,loss_featuremap_additional_storage,gradient_kernal_additional_storage
"(-1, 192, 28, 28)","(-1, 32, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,150528,0,"(0, 0)","(0, 0)",0,25088,0,0,"(0, 0)","(0, 0)",150528,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 32, 28, 28)","(-1, 192, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,25088,0,"(0, 0)","(0, 0)",0,150528,0,0,"(0, 0)","(0, 0)",25088,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 192, 28, 28)","(-1, 192, 14, 14)","(3, 3)","(2, 2)","(1, 1)",0,"(1, 1)",0,388800,50112,"(1, 1)","(1, 1)",0,1354752,1016064,0,"(1, 1)","(1, 1)",1453248,130560,102336,0.1288888888888889,0,0.75,0,0.08984013740256308,0.7311385459533608,0.129638671875,0.4306640625,0.390380859375
"(-1, 192, 14, 14)","(-1, 64, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,37632,0,"(0, 0)","(0, 0)",0,12544,0,0,"(0, 0)","(0, 0)",37632,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 64, 14, 14)","(-1, 384, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,12544,0,"(0, 0)","(0, 0)",0,75264,0,0,"(0, 0)","(0, 0)",12544,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 384, 14, 14)","(-1, 384, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,677376,62976,"(0, 0)","(1, 1)",0,677376,62976,0,"(1, 1)","(0, 0)",677376,62976,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.087890625,0.087890625,0.0
"(-1, 384, 14, 14)","(-1, 64, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,75264,0,"(0, 0)","(0, 0)",0,12544,0,0,"(0, 0)","(0, 0)",75264,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 64, 14, 14)","(-1, 384, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,12544,0,"(0, 0)","(0, 0)",0,75264,0,0,"(0, 0)","(0, 0)",12544,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 384, 14, 14)","(-1, 384, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,677376,62976,"(0, 0)","(1, 1)",0,677376,62976,0,"(1, 1)","(0, 0)",677376,62976,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.087890625,0.087890625,0.0
"(-1, 384, 14, 14)","(-1, 64, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,75264,0,"(0, 0)","(0, 0)",0,12544,0,0,"(0, 0)","(0, 0)",75264,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 64, 14, 14)","(-1, 384, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,12544,0,"(0, 0)","(0, 0)",0,75264,0,0,"(0, 0)","(0, 0)",12544,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 384, 14, 14)","(-1, 384, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,677376,62976,"(0, 0)","(1, 1)",0,677376,62976,0,"(1, 1)","(0, 0)",677376,62976,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.087890625,0.087890625,0.0
"(-1, 384, 14, 14)","(-1, 64, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,75264,0,"(0, 0)","(0, 0)",0,12544,0,0,"(0, 0)","(0, 0)",75264,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 64, 14, 14)","(-1, 384, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,12544,0,"(0, 0)","(0, 0)",0,75264,0,0,"(0, 0)","(0, 0)",12544,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 384, 14, 14)","(-1, 384, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,677376,62976,"(0, 0)","(1, 1)",0,677376,62976,0,"(1, 1)","(0, 0)",677376,62976,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.087890625,0.087890625,0.0
"(-1, 384, 14, 14)","(-1, 96, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,75264,0,"(0, 0)","(0, 0)",0,18816,0,0,"(0, 0)","(0, 0)",75264,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 96, 14, 14)","(-1, 576, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,18816,0,"(0, 0)","(0, 0)",0,112896,0,0,"(0, 0)","(0, 0)",18816,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 576, 14, 14)","(-1, 576, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,1016064,94464,"(0, 0)","(1, 1)",0,1016064,94464,0,"(1, 1)","(0, 0)",1016064,94464,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.1318359375,0.1318359375,0.0
"(-1, 576, 14, 14)","(-1, 96, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,112896,0,"(0, 0)","(0, 0)",0,18816,0,0,"(0, 0)","(0, 0)",112896,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 96, 14, 14)","(-1, 576, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,18816,0,"(0, 0)","(0, 0)",0,112896,0,0,"(0, 0)","(0, 0)",18816,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 576, 14, 14)","(-1, 576, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,1016064,94464,"(0, 0)","(1, 1)",0,1016064,94464,0,"(1, 1)","(0, 0)",1016064,94464,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.1318359375,0.1318359375,0.0
"(-1, 576, 14, 14)","(-1, 96, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,112896,0,"(0, 0)","(0, 0)",0,18816,0,0,"(0, 0)","(0, 0)",112896,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
