input_size,output_size,kernel_size,stride,padding,forward_featuremap_internal_padding,forward_featuremap_external_padding,forward_weight_internal_padding,forward_featuremap_elements_after_im2col,forward_featuremap_zeros_after_im2col,loss_featuremap_internal_padding,loss_featuremap_external_padding,loss_weight_internal_padding,loss_featuremap_elements_after_im2col,loss_featuremap_zeros_after_im2col,gradient_featuremap_internal_padding,gradient_featuremap_external_padding,gradient_weight_internal_padding,gradient_featuremap_elements_after_im2col,gradient_featuremap_zeros_after_im2col,gradient_weight_zeros_after_im2col,forward_featuremap_sparsity_after_im2col,forward_weight_sparsity_after_im2col,loss_featuremap_sparsity_after_im2col,loss_weight_sparsity_after_im2col,gradient_featuremap_sparsity_after_im2col,gradient_weight_sparsity_after_im2col,forward_featuremap_additional_storage,loss_featuremap_additional_storage,gradient_kernal_additional_storage
"(-1, 244, 28, 28)","(-1, 244, 28, 28)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,191296,0,"(0, 0)","(0, 0)",0,191296,0,0,"(0, 0)","(0, 0)",191296,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 244, 28, 28)","(-1, 244, 14, 14)","(3, 3)","(2, 2)","(1, 1)",0,"(1, 1)",0,494100,63684,"(1, 1)","(1, 1)",0,1721664,1291248,0,"(1, 1)","(1, 1)",1846836,165920,130052,0.1288888888888889,0,0.75,0,0.08984013740256308,0.7311385459533608,0.1647491455078125,0.54730224609375,0.4961090087890625
"(-1, 244, 14, 14)","(-1, 244, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,47824,0,"(0, 0)","(0, 0)",0,47824,0,0,"(0, 0)","(0, 0)",47824,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 244, 14, 14)","(-1, 244, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,47824,0,"(0, 0)","(0, 0)",0,47824,0,0,"(0, 0)","(0, 0)",47824,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 244, 14, 14)","(-1, 244, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,430416,40016,"(0, 0)","(1, 1)",0,430416,40016,0,"(1, 1)","(0, 0)",430416,40016,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.05584716796875,0.05584716796875,0.0
"(-1, 244, 14, 14)","(-1, 244, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,47824,0,"(0, 0)","(0, 0)",0,47824,0,0,"(0, 0)","(0, 0)",47824,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 244, 14, 14)","(-1, 244, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,47824,0,"(0, 0)","(0, 0)",0,47824,0,0,"(0, 0)","(0, 0)",47824,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 244, 14, 14)","(-1, 244, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,430416,40016,"(0, 0)","(1, 1)",0,430416,40016,0,"(1, 1)","(0, 0)",430416,40016,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.05584716796875,0.05584716796875,0.0
"(-1, 244, 14, 14)","(-1, 244, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,47824,0,"(0, 0)","(0, 0)",0,47824,0,0,"(0, 0)","(0, 0)",47824,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 244, 14, 14)","(-1, 244, 14, 14)","(1, 1)","(1, 1)","(0, 0)",0,"(0, 0)",0,47824,0,"(0, 0)","(0, 0)",0,47824,0,0,"(0, 0)","(0, 0)",47824,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"(-1, 244, 14, 14)","(-1, 244, 14, 14)","(3, 3)","(1, 1)","(1, 1)",0,"(1, 1)",0,430416,40016,"(0, 0)","(1, 1)",0,430416,40016,0,"(1, 1)","(0, 0)",430416,40016,0,0.09297052154195011,0,0.09297052154195011,0,0.09297052154195011,0.0,0.05584716796875,0.05584716796875,0.0
